,hd-name,folder-name,file-name,video-name
180,midMay,sf_sun_28dpf_groupB_n5c_20210523,sf_sun_28dpf_groupB_n5c_20210523_2021-05-23-122703-0000.raw,sf_sun_28dpf_groupB_n5c_20210523_2021-05-23-122703
181,midMay,sf_sun_28dpf_groupB_n5_20210523,sf_sun_28dpf_groupA_n5_20210523_2021-05-23-123138-0000.raw,sf_sun_28dpf_groupA_n5_20210523_2021-05-23-123138
182,midMay,sf_sun_28dpf_groupC_n2_20210523,sf_sun_28dpf_groupC_n2_20210523_2021-05-23-130729-0000.raw,sf_sun_28dpf_groupC_n2_20210523_2021-05-23-130729
183,midMay,sf_sun_28dpf_groupC_n5b_20210523,sf_sun_groupC_28dpf_n5b_20210523_2021-05-23-125959-0000.raw,sf_sun_groupC_28dpf_n5b_20210523_2021-05-23-125959
184,midMay,sf_sun_28dpf_groupC_n5_20210523,sf_sun_28dpf_groupC_n5_20210523_2021-05-23-131149-0000.raw,sf_sun_28dpf_groupC_n5_20210523_2021-05-23-131149
185,midMay,sf_sun_28dpf_groupD_n2b_20210523,sf_sun_groupD_28dpf_n2b_20210523_2021-05-23-133745-0000.raw,sf_sun_groupD_28dpf_n2b_20210523_2021-05-23-133745
186,midMay,sf_sun_28dpf_groupD_n2c_20210523,sf_sun_28dpf_groupD_n2c_20210523_2021-05-23-134515-0000.raw,sf_sun_28dpf_groupD_n2c_20210523_2021-05-23-134515
187,midMay,sf_sun_28dpf_groupD_n2_20210523,sf_sun_28dpf_groupD_n2_20210523_2021-05-23-134937-0000.raw,sf_sun_28dpf_groupD_n2_20210523_2021-05-23-134937
188,midMay,pa_wed_56dpf_groupA_n5_20210526,pa_wed_56dpf_groupA_n5_20210526_2021-05-26-114522-0000.raw,pa_wed_56dpf_groupA_n5_20210526_2021-05-26-114522
189,midMay,pa_wed_56dpf_groupB_n2_20210526,pa_wed_56dpf_groupB_n2_20210526_2021-05-26-121915-0000.raw,pa_wed_56dpf_groupB_n2_20210526_2021-05-26-121915
190,midMay,pa_wed_56dpf_groupC_n5_20210526,pa_wed_56dpf_groupC_n5_20210526_2021-05-26-111129-0000.raw,pa_wed_56dpf_groupC_n5_20210526_2021-05-26-111129
191,midMay,pa_wed_56dpf_groupD_n2_20210526,pa_wed_56dpf_groupD_n2_20210526_2021-05-26-103854-0000.raw,pa_wed_56dpf_groupD_n2_20210526_2021-05-26-103854
192,midMay,pa_wed_56dpf_groupD_n5_20210526,pa_wed_56dpf_groupD_n5_20210526_2021-05-26-100200-0000.raw,pa_wed_56dpf_groupD_n5_20210526_2021-05-26-100200
193,June,SF_sat_42dpf_groupA_n5b_20210606,SF_sat_42dpf_groupA_n5b_20210606_2021-06-06-122131-0000.raw,SF_sat_42dpf_groupA_n5b_20210606_2021-06-06-122136
194,April,SF_wed_7dpf_groupB_n2_202104141556,SF_wed_7dpf_groupB_n2b_2021-04-14-155647-0000.raw,SF_wed_7dpf_groupB_n2_2021-04-14-155647
195,None,SF_Fri_70dpf_GroupA_n5_2020-08-13_2021-08-13-162423,None,SF_Fri_70dpf_GroupA_n5_2020-08-13_2021-08-13-162423
196,None,SF_Fri_70dpf_GroupB_n5_2020-08-13_2021-08-13-170312,None,SF_Fri_70dpf_GroupB_n5_2020-08-13_2021-08-13-170312
197,None,sf_thur_7dpf_groupA_n2c_20210513_2021-05-13-112430,None,sf_thur_7dpf_groupA_n2c_20210513_2021-05-13-112430
198,None,sf_thur_7dpf_groupA_n5d_20210513_2021-05-13-120301,None,sf_thur_7dpf_groupA_n5d_20210513_2021-05-13-120301
199,None,sf_thur_7dpf_groupA_n5_2021-05-13-104024_PGM,None,sf_thur_7dpf_groupA_n5_2021-05-13-104024_PGM
200,None,sf_thur_7dpf_groupB_n1b_20210513_2021-05-13-132114,None,sf_thur_7dpf_groupB_n1b_20210513_2021-05-13-132114
201,None,sf_thur_7dpf_groupB_n5b_20210513_2021-05-13-124456,None,sf_thur_7dpf_groupB_n5b_20210513_2021-05-13-124456
